,state,year,quarter,registered_user
724,tamil-nadu,2019,Q1,6296303
725,tamil-nadu,2019,Q2,7429609
726,tamil-nadu,2019,Q3,8428835
727,tamil-nadu,2019,Q4,9620493
728,tamil-nadu,2020,Q1,10872368
729,tamil-nadu,2020,Q2,12150786
730,tamil-nadu,2020,Q3,13643451
731,tamil-nadu,2020,Q4,15357586
732,tamil-nadu,2021,Q1,16632608
733,tamil-nadu,2021,Q2,17804542
734,tamil-nadu,2021,Q3,19127440
735,tamil-nadu,2021,Q4,20433142
736,tamil-nadu,2022,Q1,21667020
737,tamil-nadu,2022,Q2,22829720
738,tamil-nadu,2022,Q3,24019964
739,tamil-nadu,2022,Q4,25136112
740,tamil-nadu,2023,Q1,26270663
741,tamil-nadu,2023,Q2,27317599
742,tamil-nadu,2023,Q3,28405436
743,tamil-nadu,2023,Q4,29452801
744,telangana,2018,Q1,3315560
745,telangana,2018,Q2,4260115
746,telangana,2018,Q3,5138501
747,telangana,2018,Q4,6529679
748,telangana,2019,Q1,7963425
749,telangana,2019,Q2,9046007
750,telangana,2019,Q3,10090557
751,telangana,2019,Q4,11220691
752,telangana,2020,Q1,12306860
753,telangana,2020,Q2,13378191
754,telangana,2020,Q3,14590882
755,telangana,2020,Q4,15927797
756,telangana,2021,Q1,17149069
757,telangana,2021,Q2,18306880
758,telangana,2021,Q3,19615278
759,telangana,2021,Q4,20917649
760,telangana,2022,Q1,22150612
761,telangana,2022,Q2,23314363
762,telangana,2022,Q3,24506111
763,telangana,2022,Q4,25656381
764,telangana,2023,Q1,26804259
765,telangana,2023,Q2,27814633
766,telangana,2023,Q3,28896668
767,telangana,2023,Q4,29902636
768,tripura,2018,Q1,55157
769,tripura,2018,Q2,83369
770,tripura,2018,Q3,116874
771,tripura,2018,Q4,153265
772,tripura,2019,Q1,183254
773,tripura,2019,Q2,217644
774,tripura,2019,Q3,245456
775,tripura,2019,Q4,272298
776,tripura,2020,Q1,299962
777,tripura,2020,Q2,336666
778,tripura,2020,Q3,376731
779,tripura,2020,Q4,409110
780,tripura,2021,Q1,439636
781,tripura,2021,Q2,472153
782,tripura,2021,Q3,509929
783,tripura,2021,Q4,546292
784,tripura,2022,Q1,582124
785,tripura,2022,Q2,615782
786,tripura,2022,Q3,649143
787,tripura,2022,Q4,678741
788,tripura,2023,Q1,710884
789,tripura,2023,Q2,743024
790,tripura,2023,Q3,774678
791,tripura,2023,Q4,806344
792,uttar-pradesh,2018,Q1,4694250
793,uttar-pradesh,2018,Q2,6442554
794,uttar-pradesh,2018,Q3,8096483
795,uttar-pradesh,2018,Q4,10341964
796,uttar-pradesh,2019,Q1,12458661
797,uttar-pradesh,2019,Q2,14316349
798,uttar-pradesh,2019,Q3,16044607
799,uttar-pradesh,2019,Q4,17949542
800,uttar-pradesh,2020,Q1,20136256
801,uttar-pradesh,2020,Q2,22498519
802,uttar-pradesh,2020,Q3,24838116
803,uttar-pradesh,2020,Q4,27249134
804,uttar-pradesh,2021,Q1,29482075
805,uttar-pradesh,2021,Q2,31651894
806,uttar-pradesh,2021,Q3,34151882
807,uttar-pradesh,2021,Q4,36617655
808,uttar-pradesh,2022,Q1,38999692
809,uttar-pradesh,2022,Q2,41247289
810,uttar-pradesh,2022,Q3,43537920
811,uttar-pradesh,2022,Q4,45648650
812,uttar-pradesh,2023,Q1,47806049
813,uttar-pradesh,2023,Q2,49829833
814,uttar-pradesh,2023,Q3,51870932
815,uttar-pradesh,2023,Q4,53799813
816,uttarakhand,2018,Q1,483043
817,uttarakhand,2018,Q2,649142
818,uttarakhand,2018,Q3,810612
819,uttarakhand,2018,Q4,1012103
820,uttarakhand,2019,Q1,1224955
821,uttarakhand,2019,Q2,1414339
822,uttarakhand,2019,Q3,1585859
823,uttarakhand,2019,Q4,1752677
824,uttarakhand,2020,Q1,1943606
825,uttarakhand,2020,Q2,2148567
826,uttarakhand,2020,Q3,2365438
827,uttarakhand,2020,Q4,2596244
828,uttarakhand,2021,Q1,2802122
829,uttarakhand,2021,Q2,3004040
830,uttarakhand,2021,Q3,3233509
831,uttarakhand,2021,Q4,3460015
832,uttarakhand,2022,Q1,3674829
833,uttarakhand,2022,Q2,3877056
834,uttarakhand,2022,Q3,4081976
835,uttarakhand,2022,Q4,4272049
836,uttarakhand,2023,Q1,4464369
837,uttarakhand,2023,Q2,4645322
838,uttarakhand,2023,Q3,4829992
839,uttarakhand,2023,Q4,5001826
840,west-bengal,2018,Q1,2604789
841,west-bengal,2018,Q2,3833795
842,west-bengal,2018,Q3,4851740
843,west-bengal,2018,Q4,6279278
844,west-bengal,2019,Q1,7449425
845,west-bengal,2019,Q2,8612795
846,west-bengal,2019,Q3,9643222
847,west-bengal,2019,Q4,10885058
848,west-bengal,2020,Q1,11960822
849,west-bengal,2020,Q2,13222022
850,west-bengal,2020,Q3,14448366
851,west-bengal,2020,Q4,15662093
852,west-bengal,2021,Q1,16808799
853,west-bengal,2021,Q2,17979979
854,west-bengal,2021,Q3,19323278
855,west-bengal,2021,Q4,20644527
856,west-bengal,2022,Q1,21919787
857,west-bengal,2022,Q2,23124388
858,west-bengal,2022,Q3,24372048
859,west-bengal,2022,Q4,25536381
860,west-bengal,2023,Q1,26732895
861,west-bengal,2023,Q2,27827662
862,west-bengal,2023,Q3,28966414
863,west-bengal,2023,Q4,30064546
