,state,year,quarter,registered_user
137,chandigarh,2022,Q2,569582
138,chandigarh,2022,Q3,598698
139,chandigarh,2022,Q4,627563
140,chandigarh,2023,Q1,654522
141,chandigarh,2023,Q2,678662
142,chandigarh,2023,Q3,704144
143,chandigarh,2023,Q4,727594
144,chhattisgarh,2018,Q1,679263
145,chhattisgarh,2018,Q2,950675
146,chhattisgarh,2018,Q3,1217792
147,chhattisgarh,2018,Q4,1579998
148,chhattisgarh,2019,Q1,1908898
149,chhattisgarh,2019,Q2,2191066
150,chhattisgarh,2019,Q3,2435058
151,chhattisgarh,2019,Q4,2725900
152,chhattisgarh,2020,Q1,3016487
153,chhattisgarh,2020,Q2,3401658
154,chhattisgarh,2020,Q3,3799386
155,chhattisgarh,2020,Q4,4190601
156,chhattisgarh,2021,Q1,4514551
157,chhattisgarh,2021,Q2,4837055
158,chhattisgarh,2021,Q3,5206084
159,chhattisgarh,2021,Q4,5565481
160,chhattisgarh,2022,Q1,5916961
161,chhattisgarh,2022,Q2,6238349
162,chhattisgarh,2022,Q3,6562237
163,chhattisgarh,2022,Q4,6846822
164,chhattisgarh,2023,Q1,7159660
165,chhattisgarh,2023,Q2,7469508
166,chhattisgarh,2023,Q3,7779977
167,chhattisgarh,2023,Q4,8057016
168,dadra-&-nagar-haveli-&-daman-&-diu,2018,Q1,53258
169,dadra-&-nagar-haveli-&-daman-&-diu,2018,Q2,71458
170,dadra-&-nagar-haveli-&-daman-&-diu,2018,Q3,92107
171,dadra-&-nagar-haveli-&-daman-&-diu,2018,Q4,116511
172,dadra-&-nagar-haveli-&-daman-&-diu,2019,Q1,140532
173,dadra-&-nagar-haveli-&-daman-&-diu,2019,Q2,158580
174,dadra-&-nagar-haveli-&-daman-&-diu,2019,Q3,176929
175,dadra-&-nagar-haveli-&-daman-&-diu,2019,Q4,197598
176,dadra-&-nagar-haveli-&-daman-&-diu,2020,Q1,218496
177,dadra-&-nagar-haveli-&-daman-&-diu,2020,Q2,244814
178,dadra-&-nagar-haveli-&-daman-&-diu,2020,Q3,267946
179,dadra-&-nagar-haveli-&-daman-&-diu,2020,Q4,296493
180,dadra-&-nagar-haveli-&-daman-&-diu,2021,Q1,321396
181,dadra-&-nagar-haveli-&-daman-&-diu,2021,Q2,344994
182,dadra-&-nagar-haveli-&-daman-&-diu,2021,Q3,371874
183,dadra-&-nagar-haveli-&-daman-&-diu,2021,Q4,398963
184,dadra-&-nagar-haveli-&-daman-&-diu,2022,Q1,424570
185,dadra-&-nagar-haveli-&-daman-&-diu,2022,Q2,449016
186,dadra-&-nagar-haveli-&-daman-&-diu,2022,Q3,474807
187,dadra-&-nagar-haveli-&-daman-&-diu,2022,Q4,500125
188,dadra-&-nagar-haveli-&-daman-&-diu,2023,Q1,524617
189,dadra-&-nagar-haveli-&-daman-&-diu,2023,Q2,546364
190,dadra-&-nagar-haveli-&-daman-&-diu,2023,Q3,569035
191,dadra-&-nagar-haveli-&-daman-&-diu,2023,Q4,590760
192,delhi,2018,Q1,2087022
193,delhi,2018,Q2,2756141
194,delhi,2018,Q3,3504911
195,delhi,2018,Q4,4630313
196,delhi,2019,Q1,5499263
197,delhi,2019,Q2,6165448
198,delhi,2019,Q3,6782286
199,delhi,2019,Q4,7289883
200,delhi,2020,Q1,7826197
201,delhi,2020,Q2,8391139
202,delhi,2020,Q3,9044174
203,delhi,2020,Q4,9747968
204,delhi,2021,Q1,10467210
205,delhi,2021,Q2,11182699
206,delhi,2021,Q3,11980061
207,delhi,2021,Q4,12785127
208,delhi,2022,Q1,13539197
209,delhi,2022,Q2,14260143
210,delhi,2022,Q3,15009523
211,delhi,2022,Q4,15764149
212,delhi,2023,Q1,16480011
213,delhi,2023,Q2,17103089
214,delhi,2023,Q3,17747167
215,delhi,2023,Q4,18363626
216,goa,2018,Q1,91936
217,goa,2018,Q2,122174
218,goa,2018,Q3,153802
219,goa,2018,Q4,195350
220,goa,2019,Q1,238152
221,goa,2019,Q2,278940
222,goa,2019,Q3,317194
223,goa,2019,Q4,353546
224,goa,2020,Q1,391900
225,goa,2020,Q2,430639
226,goa,2020,Q3,474962
227,goa,2020,Q4,527584
228,goa,2021,Q1,570035
229,goa,2021,Q2,609106
230,goa,2021,Q3,653458
231,goa,2021,Q4,697178
232,goa,2022,Q1,738628
233,goa,2022,Q2,777779
234,goa,2022,Q3,817830
235,goa,2022,Q4,855202
236,goa,2023,Q1,892185
237,goa,2023,Q2,926020
238,goa,2023,Q3,961831
239,goa,2023,Q4,995923
240,gujarat,2018,Q1,2690048
241,gujarat,2018,Q2,3565825
242,gujarat,2018,Q3,4433183
243,gujarat,2018,Q4,5579040
244,gujarat,2019,Q1,6652536
245,gujarat,2019,Q2,7574645
246,gujarat,2019,Q3,8429299
247,gujarat,2019,Q4,9323799
248,gujarat,2020,Q1,10259843
249,gujarat,2020,Q2,11392657
250,gujarat,2020,Q3,12467847
251,gujarat,2020,Q4,13605203
252,gujarat,2021,Q1,14670126
253,gujarat,2021,Q2,15735981
254,gujarat,2021,Q3,16946761
255,gujarat,2021,Q4,18139201
256,gujarat,2022,Q1,19265314
257,gujarat,2022,Q2,20321596
258,gujarat,2022,Q3,21394721
259,gujarat,2022,Q4,22412353
260,gujarat,2023,Q1,23436230
261,gujarat,2023,Q2,24396768
262,gujarat,2023,Q3,25383429
263,gujarat,2023,Q4,26312655
264,haryana,2018,Q1,1847357
265,haryana,2018,Q2,2447221
266,haryana,2018,Q3,3020398
267,haryana,2018,Q4,3793079
268,haryana,2019,Q1,4538767
269,haryana,2019,Q2,5178030
270,haryana,2019,Q3,5783752
271,haryana,2019,Q4,6366679
272,haryana,2020,Q1,7018770
273,haryana,2020,Q2,7682878
274,haryana,2020,Q3,8398816
275,haryana,2020,Q4,9129873
276,haryana,2021,Q1,9827905
277,haryana,2021,Q2,10530594
278,haryana,2021,Q3,11325336
279,haryana,2021,Q4,12116439
280,haryana,2022,Q1,12866988
281,haryana,2022,Q2,13576065
282,haryana,2022,Q3,14303933
283,haryana,2022,Q4,14994944
284,haryana,2023,Q1,15688161
285,haryana,2023,Q2,16314236
286,haryana,2023,Q3,16956489
287,haryana,2023,Q4,17556642
288,himachal-pradesh,2018,Q1,227373
289,himachal-pradesh,2018,Q2,315299
290,himachal-pradesh,2018,Q3,407634
291,himachal-pradesh,2018,Q4,526343
292,himachal-pradesh,2019,Q1,653205
293,himachal-pradesh,2019,Q2,772603
294,himachal-pradesh,2019,Q3,876184
295,himachal-pradesh,2019,Q4,985945
296,himachal-pradesh,2020,Q1,1106025
297,himachal-pradesh,2020,Q2,1249867
298,himachal-pradesh,2020,Q3,1378634
299,himachal-pradesh,2020,Q4,1508766
300,himachal-pradesh,2021,Q1,1622951
301,himachal-pradesh,2021,Q2,1743151
302,himachal-pradesh,2021,Q3,1880626
303,himachal-pradesh,2021,Q4,2013747
304,himachal-pradesh,2022,Q1,2143483
305,himachal-pradesh,2022,Q2,2264407
306,himachal-pradesh,2022,Q3,2381576
307,himachal-pradesh,2022,Q4,2483076
308,himachal-pradesh,2023,Q1,2594668
309,himachal-pradesh,2023,Q2,2706470
310,himachal-pradesh,2023,Q3,2816046
311,himachal-pradesh,2023,Q4,2924952
312,jammu-&-kashmir,2018,Q1,176425
313,jammu-&-kashmir,2018,Q2,261609
314,jammu-&-kashmir,2018,Q3,342529
315,jammu-&-kashmir,2018,Q4,436563
316,jammu-&-kashmir,2019,Q1,530669
317,jammu-&-kashmir,2019,Q2,631193
318,jammu-&-kashmir,2019,Q3,658455
319,jammu-&-kashmir,2019,Q4,673367
