,year,quarter,state,district,registered_user
87,2018,Q2,andhra-pradesh,visakhapatnam district,636052
88,2018,Q2,andhra-pradesh,prakasam district,253458
89,2018,Q2,andhra-pradesh,anantapur district,326383
90,2018,Q2,andhra-pradesh,kurnool district,319313
91,2018,Q2,andhra-pradesh,guntur district,420326
92,2018,Q2,andhra-pradesh,krishna district,431965
93,2018,Q2,andhra-pradesh,spsr nellore district,261049
94,2018,Q2,andhra-pradesh,vizianagaram district,167327
95,2018,Q2,andhra-pradesh,ysr district,248657
96,2018,Q2,andhra-pradesh,west godavari district,282393
97,2018,Q2,andhra-pradesh,chittoor district,414306
98,2018,Q3,andhra-pradesh,east godavari district,558982
99,2018,Q3,andhra-pradesh,srikakulam district,228456
100,2018,Q3,andhra-pradesh,visakhapatnam district,769096
101,2018,Q3,andhra-pradesh,prakasam district,314899
102,2018,Q3,andhra-pradesh,anantapur district,405855
103,2018,Q3,andhra-pradesh,kurnool district,394311
104,2018,Q3,andhra-pradesh,guntur district,518931
105,2018,Q3,andhra-pradesh,krishna district,537086
106,2018,Q3,andhra-pradesh,spsr nellore district,322446
107,2018,Q3,andhra-pradesh,vizianagaram district,203655
108,2018,Q3,andhra-pradesh,ysr district,308391
109,2018,Q3,andhra-pradesh,west godavari district,349782
110,2018,Q3,andhra-pradesh,chittoor district,515727
111,2018,Q4,andhra-pradesh,east godavari district,694455
112,2018,Q4,andhra-pradesh,srikakulam district,284874
113,2018,Q4,andhra-pradesh,visakhapatnam district,978288
114,2018,Q4,andhra-pradesh,prakasam district,394962
115,2018,Q4,andhra-pradesh,anantapur district,510892
116,2018,Q4,andhra-pradesh,kurnool district,498582
117,2018,Q4,andhra-pradesh,guntur district,659552
118,2018,Q4,andhra-pradesh,krishna district,682479
119,2018,Q4,andhra-pradesh,spsr nellore district,407495
120,2018,Q4,andhra-pradesh,vizianagaram district,257824
121,2018,Q4,andhra-pradesh,ysr district,387058
122,2018,Q4,andhra-pradesh,west godavari district,435668
123,2018,Q4,andhra-pradesh,chittoor district,665280
124,2019,Q1,andhra-pradesh,east godavari district,839277
125,2019,Q1,andhra-pradesh,srikakulam district,345775
126,2019,Q1,andhra-pradesh,visakhapatnam district,1174517
127,2019,Q1,andhra-pradesh,prakasam district,474260
128,2019,Q1,andhra-pradesh,anantapur district,612162
129,2019,Q1,andhra-pradesh,kurnool district,599422
130,2019,Q1,andhra-pradesh,guntur district,802394
131,2019,Q1,andhra-pradesh,krishna district,833694
132,2019,Q1,andhra-pradesh,spsr nellore district,491908
133,2019,Q1,andhra-pradesh,vizianagaram district,313334
134,2019,Q1,andhra-pradesh,ysr district,460590
135,2019,Q1,andhra-pradesh,west godavari district,523372
136,2019,Q1,andhra-pradesh,chittoor district,812314
137,2019,Q2,andhra-pradesh,east godavari district,945181
138,2019,Q2,andhra-pradesh,srikakulam district,392764
139,2019,Q2,andhra-pradesh,visakhapatnam district,1318740
140,2019,Q2,andhra-pradesh,prakasam district,539462
141,2019,Q2,andhra-pradesh,anantapur district,695114
142,2019,Q2,andhra-pradesh,kurnool district,680118
143,2019,Q2,andhra-pradesh,guntur district,915256
144,2019,Q2,andhra-pradesh,krishna district,952300
145,2019,Q2,andhra-pradesh,spsr nellore district,558303
146,2019,Q2,andhra-pradesh,vizianagaram district,355058
147,2019,Q2,andhra-pradesh,ysr district,519031
148,2019,Q2,andhra-pradesh,west godavari district,592185
149,2019,Q2,andhra-pradesh,chittoor district,925491
150,2019,Q3,andhra-pradesh,east godavari district,1057167
151,2019,Q3,andhra-pradesh,srikakulam district,437939
152,2019,Q3,andhra-pradesh,visakhapatnam district,1460464
153,2019,Q3,andhra-pradesh,prakasam district,598568
154,2019,Q3,andhra-pradesh,anantapur district,773656
155,2019,Q3,andhra-pradesh,kurnool district,755024
156,2019,Q3,andhra-pradesh,guntur district,1026418
157,2019,Q3,andhra-pradesh,krishna district,1066546
158,2019,Q3,andhra-pradesh,spsr nellore district,619592
159,2019,Q3,andhra-pradesh,vizianagaram district,394375
160,2019,Q3,andhra-pradesh,ysr district,574109
161,2019,Q3,andhra-pradesh,west godavari district,662102
162,2019,Q3,andhra-pradesh,chittoor district,1032733
163,2019,Q4,andhra-pradesh,east godavari district,1195228
164,2019,Q4,andhra-pradesh,srikakulam district,496266
165,2019,Q4,andhra-pradesh,visakhapatnam district,1620235
166,2019,Q4,andhra-pradesh,prakasam district,673522
167,2019,Q4,andhra-pradesh,anantapur district,873033
168,2019,Q4,andhra-pradesh,kurnool district,846885
169,2019,Q4,andhra-pradesh,guntur district,1158708
170,2019,Q4,andhra-pradesh,krishna district,1199971
171,2019,Q4,andhra-pradesh,spsr nellore district,697154
172,2019,Q4,andhra-pradesh,vizianagaram district,443810
173,2019,Q4,andhra-pradesh,ysr district,646642
174,2019,Q4,andhra-pradesh,west godavari district,750078
175,2019,Q4,andhra-pradesh,chittoor district,1156351
176,2020,Q1,andhra-pradesh,east godavari district,1329664
177,2020,Q1,andhra-pradesh,srikakulam district,552007
178,2020,Q1,andhra-pradesh,visakhapatnam district,1763581
179,2020,Q1,andhra-pradesh,prakasam district,748655
180,2020,Q1,andhra-pradesh,anantapur district,971850
181,2020,Q1,andhra-pradesh,kurnool district,936293
182,2020,Q1,andhra-pradesh,guntur district,1289678
183,2020,Q1,andhra-pradesh,krishna district,1331602
184,2020,Q1,andhra-pradesh,spsr nellore district,775440
185,2020,Q1,andhra-pradesh,vizianagaram district,490683
186,2020,Q1,andhra-pradesh,ysr district,717865
187,2020,Q1,andhra-pradesh,west godavari district,843835
188,2020,Q1,andhra-pradesh,chittoor district,1270907
189,2020,Q2,andhra-pradesh,east godavari district,1459116
190,2020,Q2,andhra-pradesh,srikakulam district,608002
191,2020,Q2,andhra-pradesh,visakhapatnam district,1904719
192,2020,Q2,andhra-pradesh,prakasam district,830709
193,2020,Q2,andhra-pradesh,anantapur district,1076953
194,2020,Q2,andhra-pradesh,kurnool district,1035093
195,2020,Q2,andhra-pradesh,guntur district,1426271
196,2020,Q2,andhra-pradesh,krishna district,1459041
197,2020,Q2,andhra-pradesh,spsr nellore district,854459
198,2020,Q2,andhra-pradesh,vizianagaram district,537798
199,2020,Q2,andhra-pradesh,ysr district,796769
200,2020,Q2,andhra-pradesh,west godavari district,944829
201,2020,Q2,andhra-pradesh,chittoor district,1385916
202,2020,Q3,andhra-pradesh,east godavari district,1601940
203,2020,Q3,andhra-pradesh,srikakulam district,667858
204,2020,Q3,andhra-pradesh,visakhapatnam district,2058346
205,2020,Q3,andhra-pradesh,prakasam district,915240
206,2020,Q3,andhra-pradesh,anantapur district,1186851
207,2020,Q3,andhra-pradesh,kurnool district,1132240
208,2020,Q3,andhra-pradesh,guntur district,1567595
209,2020,Q3,andhra-pradesh,krishna district,1599289
210,2020,Q3,andhra-pradesh,spsr nellore district,937176
211,2020,Q3,andhra-pradesh,vizianagaram district,587784
212,2020,Q3,andhra-pradesh,ysr district,877909
213,2020,Q3,andhra-pradesh,west godavari district,1053674
214,2020,Q3,andhra-pradesh,chittoor district,1506503
215,2020,Q4,andhra-pradesh,east godavari district,1746280
216,2020,Q4,andhra-pradesh,srikakulam district,726761
217,2020,Q4,andhra-pradesh,visakhapatnam district,2209658
218,2020,Q4,andhra-pradesh,prakasam district,999462
219,2020,Q4,andhra-pradesh,anantapur district,1295872
220,2020,Q4,andhra-pradesh,kurnool district,1230466
221,2020,Q4,andhra-pradesh,guntur district,1712940
222,2020,Q4,andhra-pradesh,krishna district,1744028
223,2020,Q4,andhra-pradesh,spsr nellore district,1022944
224,2020,Q4,andhra-pradesh,vizianagaram district,634462
225,2020,Q4,andhra-pradesh,ysr district,959182
226,2020,Q4,andhra-pradesh,west godavari district,1163179
227,2020,Q4,andhra-pradesh,chittoor district,1631331
228,2021,Q1,andhra-pradesh,east godavari district,1878769
229,2021,Q1,andhra-pradesh,srikakulam district,782604
230,2021,Q1,andhra-pradesh,visakhapatnam district,2368081
231,2021,Q1,andhra-pradesh,prakasam district,1075936
232,2021,Q1,andhra-pradesh,anantapur district,1394849
233,2021,Q1,andhra-pradesh,kurnool district,1323411
234,2021,Q1,andhra-pradesh,guntur district,1843237
235,2021,Q1,andhra-pradesh,krishna district,1876458
236,2021,Q1,andhra-pradesh,spsr nellore district,1100541
237,2021,Q1,andhra-pradesh,vizianagaram district,681621
238,2021,Q1,andhra-pradesh,ysr district,1032689
239,2021,Q1,andhra-pradesh,west godavari district,1254117
240,2021,Q1,andhra-pradesh,chittoor district,1751420
241,2021,Q2,andhra-pradesh,east godavari district,2006272
242,2021,Q2,andhra-pradesh,srikakulam district,837958
243,2021,Q2,andhra-pradesh,visakhapatnam district,2526830
244,2021,Q2,andhra-pradesh,prakasam district,1151232
245,2021,Q2,andhra-pradesh,anantapur district,1492738
246,2021,Q2,andhra-pradesh,kurnool district,1415585
247,2021,Q2,andhra-pradesh,guntur district,1968681
248,2021,Q2,andhra-pradesh,krishna district,2002662
249,2021,Q2,andhra-pradesh,spsr nellore district,1176334
250,2021,Q2,andhra-pradesh,vizianagaram district,729509
251,2021,Q2,andhra-pradesh,ysr district,1103004
252,2021,Q2,andhra-pradesh,west godavari district,1339377
253,2021,Q2,andhra-pradesh,chittoor district,1870723
254,2021,Q3,andhra-pradesh,east godavari district,2150622
255,2021,Q3,andhra-pradesh,srikakulam district,902008
256,2021,Q3,andhra-pradesh,visakhapatnam district,2707931
257,2021,Q3,andhra-pradesh,prakasam district,1239147
258,2021,Q3,andhra-pradesh,anantapur district,1606735
259,2021,Q3,andhra-pradesh,kurnool district,1522196
260,2021,Q3,andhra-pradesh,guntur district,2110878
261,2021,Q3,andhra-pradesh,krishna district,2145423
262,2021,Q3,andhra-pradesh,spsr nellore district,1263550
263,2021,Q3,andhra-pradesh,vizianagaram district,784444
264,2021,Q3,andhra-pradesh,ysr district,1183377
265,2021,Q3,andhra-pradesh,west godavari district,1436576
266,2021,Q3,andhra-pradesh,chittoor district,2007011
267,2021,Q4,andhra-pradesh,east godavari district,2294347
268,2021,Q4,andhra-pradesh,srikakulam district,965335
269,2021,Q4,andhra-pradesh,visakhapatnam district,2888774
270,2021,Q4,andhra-pradesh,prakasam district,1325728
271,2021,Q4,andhra-pradesh,anantapur district,1719437
272,2021,Q4,andhra-pradesh,kurnool district,1628242
273,2021,Q4,andhra-pradesh,guntur district,2252443
274,2021,Q4,andhra-pradesh,krishna district,2288148
275,2021,Q4,andhra-pradesh,spsr nellore district,1349290
276,2021,Q4,andhra-pradesh,vizianagaram district,839606
277,2021,Q4,andhra-pradesh,ysr district,1262963
278,2021,Q4,andhra-pradesh,west godavari district,1532898
279,2021,Q4,andhra-pradesh,chittoor district,2141818
280,2022,Q1,andhra-pradesh,east godavari district,2432305
281,2022,Q1,andhra-pradesh,srikakulam district,1027283
282,2022,Q1,andhra-pradesh,visakhapatnam district,3061324
283,2022,Q1,andhra-pradesh,prakasam district,1408929
